word	lemma	pos	wordfreq	lemfreq
need	need	v	640460	945498
needed	need	v	163176	945498
needs	need	v	133052	945498
needing	need	v	8810	945498
back	back	r	938649	938649
there	there	r	932354	932354
should	should	v	920908	920908
even	even	r	920346	920346
only	only	r	905093	905093
many	many	d	903830	903833
really	really	r	895900	895900
work	work	v	356692	854095
working	work	v	242183	854095
worked	work	v	154898	854095
works	work	v	98090	854095
wrought	work	v	2232	854095
life	life	n	719311	852257
lives	life	n	132017	852257
lifes	life	n	929	852257
why	why	r	832911	832911
right	right	r	830729	830729
down	down	r	820294	820294
on	on	r	818737	818739
trying	try	v	327461	795248
try	try	v	275985	795248
tried	try	v	162174	795248
tries	try	v	26715	795248
tryin	try	v	2859	795248
tryed	try	v	54	795248
let	let	v	747708	780929
letting	let	v	33221	780929
something	something	p	774329	779903
somethin	something	p	5386	779903
some-thing	something	p	188	779903
too	too	r	771375	771375
called	call	v	365320	768117
call	call	v	267297	768117
calling	call	v	79129	768117
calls	call	v	56371	768117
women	woman	n	442808	759817
woman	woman	n	316749	759817
womans	woman	n	260	759817
may	may	v	757742	757742
still	still	r	757548	757548
through	through	i	752325	752325
mean	mean	v	471179	748840
means	mean	v	161683	748840
meant	mean	v	91547	748840
meaning	mean	v	24428	748840
after	after	i	745154	745154
never	never	r	744608	744608
no	no	u	743203	743203
world	world	n	714815	732511
worlds	world	n	17696	732511
in	in	r	726590	726590
feel	feel	v	382789	722826
felt	feel	v	208624	722826
feeling	feel	v	65911	722826
feels	feel	v	65502	722826
yeah	yeah	u	703928	703928
great	great	j	551990	696589
greater	great	j	89341	696589
greatest	great	j	55258	696589
last	last	m	692989	692989
children	child	n	441998	685426
child	child	n	242214	685426
childrens	child	n	916	685426
childs	child	n	298	685426
oh	oh	u	685234	685234
over	over	i	679617	679617
asked	ask	v	304831	676596
ask	ask	v	247585	676596
asking	ask	v	88039	676596
asks	ask	v	36141	676596
when	when	r	669530	669530
as	as	r	662376	662376
school	school	n	526204	660191
schools	school	n	133987	660191
state	state	n	514086	638012
states	state	n	123926	638012
much	much	d	636642	636642
talk	talk	v	290634	635614
talking	talk	v	243433	635614
talked	talk	v	83814	635614
talks	talk	v	12725	635614
talkin	talk	v	5008	635614
out	out	i	634959	634959
keep	keep	v	399487	626487
kept	keep	v	117830	626487
keeping	keep	v	63438	626487
keeps	keep	v	45732	626487
left	leave	v	290116	622651
leave	leave	v	209155	622651
leaving	leave	v	88694	622651
leaves	leave	v	34652	622651
leaved	leave	v	34	622651
put	put	v	499855	616952
putting	put	v	76441	616952
puts	put	v	40500	616952
putted	put	v	156	616952
like	like	v	516981	614691
liked	like	v	59976	614691
likes	like	v	33961	614691
liking	like	v	3773	614691
help	help	v	412389	606887
helped	help	v	93520	606887
helping	help	v	56645	606887
helps	help	v	44333	606887
big	big	j	470295	600364
biggest	big	j	74504	600364
bigger	big	j	55565	600364
where	where	r	597351	597351
same	same	d	592440	592441
all	all	r	591610	591610
own	own	d	579171	579172
while	while	c	579023	579023
started	start	v	234383	578246
start	start	v	212064	578246
starting	start	v	75161	578246
starts	start	v	56638	578246
three	three	m	569831	570885
threes	three	m	1054	570885
high	high	j	382871	567720
higher	high	j	139409	567720
