word	lemma	pos	wordfreq
রাষ্ট্রের	রাষ্ট্র	noun	1744
সহজ	সহজ	adj	1743
মোবাইল	মোবাইল	noun	1740
যাদের	যারা	dem	1738
জুন	জুন	noun	1736
মুসলমান	মুসলমান	noun	1736
আদায়	আদায়	noun	1736
টি	টি	adj	1735
ভিন্ন	ভিন্ন	adj	1728
কমিটি	কমিটি	noun	1725
ঐ	ঐ	unknwn	1724
বহু	বহু	adj	1724
জানিয়েছে	জানিয়েছে	verb	1724
সামরিক	সামরিক	adj	1722
মার্কিন	মার্কিন	adj	1719
নির্বাচিত	নির্বাচিত	adj	1717
হবে	হ	dem	1717
তাঁদের	তাঁদের	dem	1717
মন্তব্য	মন্তব্য	noun	1715
দিবস	দিবস	noun	1711
ছুটে	ছুট	verb	1709
হক	হক	noun	1708
ভিত্তিতে	ভিত্তি	noun	1707
পুরো	পুরো	adj	1703
গভীর	গভীর	adj	1702
পার্বত্য	পার্বত্য	noun	1699
বেশী	বেশী	adj	1698
ঢাকার	ঢাকা	noun	1697
সংগ্রহ	সংগ্রহ	noun	1695
দাম	দাম	noun	1692
তিনটি	তিন	adj	1691
উঠল	উঠ	verb	1691
এপ্রিল	এপ্রিল	noun	1690
ভাষায়	ভাষায়	noun	1690
পেয়ে	পেয়ে	noun	1690
অব	অব	noun	1689
দু''টি	দু''টি	adj	1688
রিপোর্ট	রিপোর্ট	noun	1688
প্রধানমন্ত্রীর	প্রধানমন্ত্রী	noun	1687
বর্তমানে	বর্তমান	adv	1684
পাবেন	পা	verb	1682
ঐ	ওই	unknwn	1681
জায়গা	জায়গা	noun	1681
আলাদা	আলাদা	adj	1680
দ্য	দ্য	noun	1679
নির্বাহী	নির্বাহী	adj	1679
মন্ত্রী	মন্ত্রী	noun	1678
গাছের	গাছ	noun	1673
উপলক্ষে	উপলক্ষ	noun	1673
গুলি	গুলি	noun	1671
বর্তমানে	বর্তমানে	adv	1668
সাংবাদিক	সাংবাদিক	noun	1666
আক্রান্ত	আক্রান্ত	adj	1661
চালিয়ে	চালিয়ে	verb	1659
জায়গায়	জায়গায়	noun	1657
জ্ঞান	জ্ঞান	noun	1657
প্রচার	প্রচার	noun	1655
নিকট	নিকট	noun	1653
বিয়ে	বিয়ে	noun	1652
পাবে	পা	verb	1650
নিচে	নিচে	noun	1649
তৃতীয়	তৃতীয়	adj	1648
ও	ও	adj	1644
হাসিনার	হাসিনা	noun	1643
আর্থিক	আর্থিক	adj	1643
মুক্তি	মুক্তি	noun	1641
স্থাপন	স্থাপন	noun	1639
মধ্যেই	মধ্যেই	noun	1638
রাজধানীর	রাজধানী	noun	1638
অক্টোবর	অক্টোবর	noun	1637
দূর	দূর	noun	1634
গাছ	গাছ	noun	1629
উপরে	উপর	noun	1625
এরা	এরা	dem	1622
করতেন	কর	verb	1622
উঠল	ওঠ	verb	1620
কোম্পানির	কোম্পানি	noun	1619
শুনে	শুন	verb	1618
টার	টার	noun	1615
ধরণের	ধরণ	noun	1613
পরিস্থিতি	পরিস্থিতি	noun	1612
জানানো	জানানো	noun	1609
পরবর্তী	পরবর্তী	adj	1609
অবশ্য	অবশ্য	partcp	1602
প্রতিষ্ঠা	প্রতিষ্ঠা	noun	1602
নম্বর	নম্বর	noun	1597
পেয়েছে	পেয়েছে	verb	1596
জানায়	জানায়	verb	1593
আওতায়	আওতায়	noun	1591
পরিষদ	পরিষদ	noun	1591
উদ্দেশ্যে	উদ্দেশ্য	noun	1590
সম্পদ	সম্পদ	noun	1588
জানুয়ারি	জানুয়ারি	noun	1587
বলছেন	বল	verb	1586
থেকেই	থেকেই	dem	1582
তুলে	তোল	verb	1582
চিকিৎসা	চিকিৎসা	noun	1581
নেতৃত্বে	নেতৃত্ব	noun	1578
হঠাৎ	হঠাৎ	adv	1576
সমস্ত	সমস্ত	adj	1574
জন	জন	partcp	1573
উদ্যোগ	উদ্যোগ	noun	1573
দৃষ্টি	দৃষ্টি	noun	1572
মাওলানা	মাওলানা	noun	1569
মূলত	মূলত	adv	1563
মনের	মন	noun	1560
সাল	সাল	noun	1560
ভেতরে	ভেতর	noun	1559
সর্বোচ্চ	সর্বোচ্চ	adj	1558
বলার	বলা	noun	1554
প্রতিষ্ঠিত	প্রতিষ্ঠিত	adj	1553
ঘটেছে	ঘট	verb	1551
পড়তে	পড়তে	verb	1550
বুঝতে	বুঝ	verb	1550
চাইলে	চাইলে	unknwn	1548
হামলা	হামলা	noun	1544
প্রকল্পের	প্রকল্প	noun	1542
প্রভাব	প্রভাব	noun	1542
বেড়ে	বেড়ে	verb	1541
শিকার	শিকার	noun	1541
তেমনি	তেমনি	dem	1540
নিয়োগ	নিয়োগ	noun	1538
ডেস্ক	ডেস্ক	noun	1538
সভা	সভা	noun	1532
অভিযান	অভিযান	noun	1531
সা	সা	unknwn	1531
সম্ভাবনা	সম্ভাবনা	noun	1528
দান	দান	noun	1526
পাকিস্তান	পাকিস্তান	noun	1526
গোটা	গোটা	adj	1523
আটক	আটক	noun	1521
শাহ	শাহ	noun	1520
অন্যদিকে	অন্যদিকে	adv	1518
জুলাই	জুলাই	noun	1516
নভেম্বর	নভেম্বর	noun	1516
যুক্ত	যুক্ত	adj	1515
করব	কর	verb	1515
মাছ	মাছ	noun	1514
প্রশ্নের	প্রশ্ন	noun	1514
গ্রামে	গ্রাম	noun	1513
এস	এস	noun	1512
বাস	বাস	noun	1508
ক্ষতি	ক্ষতি	noun	1508
রহমানের	রহমান	noun	1507
সহযোগিতা	সহযোগিতা	noun	1506
সংগঠন	সংগঠন	noun	1506
শত	শত	adj	1505
মন্ত্রণালয়ের	মন্ত্রণালয়ের	noun	1504
পাশাপাশি	পাশাপাশি	adv	1503
কাউকে	কাউকে	dem	1502
পা	পা	noun	1502
হওয়ায়	হওয়ায়	noun	1500
আইনের	আইন	noun	1494
মুক্ত	মুক্ত	adj	1494
বাস্তবায়ন	বাস্তবায়ন	noun	1493
জনপ্রিয়	জনপ্রিয়	adj	1488
চুক্তি	চুক্তি	noun	1487
ওর	ওর	dem	1485
কবি	কবি	noun	1484
কেন্দ্রীয়	কেন্দ্রীয়	adj	1483
সেপ্টেম্বর	সেপ্টেম্বর	noun	1479
সংক্রান্ত	সংক্রান্ত	partcp	1478
বাধ্য	বাধ্য	adj	1477
সাংস্কৃতিক	সাংস্কৃতিক	adj	1476
সবাইকে	সবাই	dem	1475
জমি	জমি	noun	1473
ধর্মের	ধর্ম	noun	1471
নদী	নদী	noun	1470
বাহিনী	বাহিনী	noun	1470
ভূমি	ভূমি	noun	1469
জড়িত	জড়িত	adj	1468
অনুষ্ঠান	অনুষ্ঠান	noun	1468
সম্প্রতি	সম্প্রতি	noun	1468
সম্পূর্ণ	সম্পূর্ণ	adj	1465
প্রতিষ্ঠানের	প্রতিষ্ঠান	noun	1463
দিলে	দে	unknwn	1462
ঘর	ঘর	noun	1461
নিয়মিত	নিয়মিত	adj	1460
বন্ধু	বন্ধু	noun	1460
আম	আম	dem	1459
এগুলো	এগুলো	dem	1458
রাখে	রাখ	verb	1455
হ্যাঁ	হ্যাঁ	partcp	1454
কিনা	কিনা	partcp	1452
গ্রেফতার	গ্রেফতার	noun	1452
পরামর্শ	পরামর্শ	noun	1451
কোম্পানি	কোম্পানি	noun	1451
গুরুত্ব	গুরুত্ব	noun	1450
স্বাধীন	স্বাধীন	adj	1449
মতে	মত	noun	1447
অনেকে	অনেকে	dem	1446
করে	কর	noun	1445
ঘুরে	ঘুর	verb	1444
ব্যাংকের	ব্যাংক	noun	1443
করোনা	করোনা	noun	1442
দেবে	দে	verb	1442
তাঁরা	তাঁরা	dem	1441
হাজির	হাজি	noun	1439
ডাক্তার	ডাক্তার	noun	1439
সমাজে	সমাজ	noun	1436
উন্নয়ন	উন্নয়ন	noun	1434
ঘরের	ঘর	noun	1431
পড়া	পড়া	noun	1430
আলো	আলো	noun	1430
চোখের	চোখ	noun	1429
নিন	নিন	verb	1428
হিন্দু	হিন্দু	noun	1427
গেলে	যা	unknwn	1427
নীতি	নীতি	noun	1427
বের	বে	noun	1425
কেটে	কাট	verb	1421
পদ্ধতি	পদ্ধতি	noun	1416
প্রিয়	প্রিয়	adj	1414
খুলে	খুল	verb	1413
